nombre_aeropouerto,codigo_IATA,ISO_pais,ISO_region
UTIRIK,UTK,MH,MH-UTI
OCEAN REEF CLUB,OCA,US,US-FL
PILOT STATION,PQS,US,US-AK
CRESTED BUTTE AIRPARK,CSE,US,US-CO
LBJ RANCH,JCY,US,US-TX
NUNAPITCHUK,NUP,US,US-AK
ICY BAY,ICY,US,US-AK
KALAKAKET CREEK AS,KKK,US,US-AK
DUNSMUIR MUNI-MOTT,MHS,US,US-CA
CHASE FIELD INDUSTRIAL,NIR,US,US-TX
GRAND CANYON BAR TEN AIRSTRIP,GCT,US,US-AZ
LIME VILLAGE,LVD,US,US-AK
HOG RIVER,HGZ,US,US-AK
ED-AIR,OTN,US,US-IN
TELIDA,TLF,US,US-AK
EAGLE AIR PARK,BZT,US,US-TX
BLAKELY ISLAND,BYW,US,US-WA
DRIFT RIVER,DRF,US,US-AK
RINKENBERGER RESTRICTED LANDING AREA,BDF,US,US-IL
ROY OTTEN MEMORIAL AIRFIELD,VRS,US,US-MO
ATMAUTLUAK,ATT,US,US-AK
LIVENGOOD CAMP,LIV,US,US-AK
PEDRO BAY,PDB,US,US-AK
OUZINKIE,KOZ,US,US-AK
TUNUNAK,TNK,US,US-AK
MINTO AL WRIGHT,MNT,US,US-AK
ALEKNAGIK / NEW,WKK,US,US-AK
NAKNEK,NNK,US,US-AK
SOUTHERN SEAPLANE,BCS,US,US-LA
EARL HENRY,BWL,US,US-OK
CENTER ISLAND,CWS,US,US-WA
TATITLEK,TEK,US,US-AK
PINE ISLAND,DUF,US,US-NC
STUART ISLAND AIRPARK,SSW,US,US-WA
FORT BRAGG,FOB,US,US-CA
MAXSON AIRFIELD,AXB,US,US-NY
REESE AIRPARK,REE,US,US-TX
WALDRON AIRSTRIP,WDN,US,US-WA
CHUATHBALUK,CHU,US,US-AK
UGASHIK,UGS,US,US-AK
LEVELOCK,KLL,US,US-AK
TUNTUTULIAK,WTL,US,US-AK
TWIN HILLS,TWA,US,US-AK
CHIGNIK LAKE,KCQ,US,US-AK
ADADO,AAD,SO,SO-GA
ATKAMBA,ABP,PG,PG-WPD
ANDAKOMBE,ADC,PG,PG-EHG
